Reference;Name;Category;Short description;Size;Color;Structure;Price/RUB;Images
VKD0011;"Кардиган длинный ""LOLO"" VKD0011";Кардиганы вязаные;"Создавая новую модель для девушек, мы прежде всего заботимся о качестве изделия, и о том, будет ли удобно носить эту вещь, будет ли она красивой. Учитывая все эти требования, мы создали длинный вязаный кардиган ""LOLO"". Он сочетает в себе элегантность и стиль, отлично подчеркивает достоинства фигуры, но главное — согревает в холодные осенние дни! В составе пряжи — хлопок и акрил, благодаря этому материал такой легкий, мягкий и уютный. Рукава на резинке, длина кардигана — ниже колена. Будь стильной и нежной в вязаном кардигане ""LOLO"". Длина изделия: 107-113 см Длина рукава: 64 см";42-52;голубой;хлопок, акрил;1725;https://niko-opt.com/4283-large_default/kardigan-dlinnyj-lolo-vkd0011.jpg,https://niko-opt.com/4284-large_default/kardigan-dlinnyj-lolo-vkd0011.jpg,https://niko-opt.com/4285-large_default/kardigan-dlinnyj-lolo-vkd0011.jpg
VKK0009;"Кардиган короткий ""LOLO"" VKK0009";Кардиганы вязаные;"В холодную погоду хочется утеплиться, и при этом выглядеть элегантно? Тогда короткий вязаный кардиган ""LOLO"" именно то, что вам нужно! Модель выполнена в цвете ""джинс"", который отлично сочетается с множеством оттенков и позволяет надеть кардиган под одежду любого цвета. В состав пряжи входит хлопок и акрил, именно поэтому кардиган на ощупь мягкий и приятный, согревает в холод, не создавая парникового эффекта. Уход за таким кардиганом довольно прост — деликатная стирка и обычная, не машинная сушка. Подари себе немного уюта, купив короткий кардиган ""LOLO""! Длина изделия: 91-97 см Длина рукава: 64 см";42-52;джинсовый синий;хлопок, акрил;1578;https://niko-opt.com/12169-large_default/kardigan-korotkij-lolo-vkk0009.jpg,https://niko-opt.com/12170-large_default/kardigan-korotkij-lolo-vkk0009.jpg,https://niko-opt.com/4309-large_default/kardigan-korotkij-lolo-vkk0009.jpg
VKK0012;"Кардиган короткий ""LOLO"" VKK0012";Кардиганы вязаные;"Часто девушки боятся носить розовые вещи, чтобы не создать себе образ барби. Блондинки особенно опасаются этого цвета, и совершенно зря! насколько стильно и нежно вы будете выглядеть в кардигане ""LOLO"" светло-розового цвета, только приглядитесь! Вязаный кардиган — именно то, что нужно для весны, когда на улице по-весеннему тепло, и пора снимать тяжелые шубы и куртки в поисках тепла и солнца. На рукавах и по низу вшита резинка, которая удобно стягивает пряжу. Длина изделия: 91-97 см Длина рукава: 64 см";42-52;светло-розовый;хлопок, акрил;1578;https://niko-opt.com/4415-large_default/kardigan-korotkij-lolo-vkk0012.jpg,https://niko-opt.com/4416-large_default/kardigan-korotkij-lolo-vkk0012.jpg,https://niko-opt.com/4417-large_default/kardigan-korotkij-lolo-vkk0012.jpg
KSL0002;Костюм вязаный асимметричный KSL0002;Костюмы вязаные;Комфортный вязаный костюм светло-пудрового цвета из асимметричной кофты и ровных вязаных штанов на кулисе. Кофта костюма имеет асимметричный низ, высокий воротник гольф и декорирована узкой косичкой. Костюм представлен в едином размере.Замеры для (42–48) размера: длина кофты по спинке 60-66 см, рукава 49-51 см, длина горловины 20 см, штаны по наружному шву 100-103 см, по внутреннему шву 79-81 см, пояс 7 см.;42-48;пудровый;шерсть, акрил;1917;https://niko-opt.com/12513-large_default/kostyum-vyazanyj-asimmetrichnyj-ksl0002.jpg,https://niko-opt.com/12514-large_default/kostyum-vyazanyj-asimmetrichnyj-ksl0002.jpg,https://niko-opt.com/12515-large_default/kostyum-vyazanyj-asimmetrichnyj-ksl0002.jpg
KF-1757A;"Кофта ""Tracey"" KF-1757A";Кофты;"Женская кофта свободного кроя комбинированная с кожей золотого цвета. Рукав ""летучая мышь"", внизу на манжете. Оригинально смотрится благодаря сочетанию разных фактур ткани. Замеры по 42 размеру:  длина кофты по спинке - 62 см,  рукава от горловины - 49 см,  полуобхват внизу по манжету - 48 см.";42;многоцветный;трикотаж джерси, экокожа;1153;https://niko-opt.com/8512-large_default/kofta-tracey-kf-1757a.jpg,https://niko-opt.com/8513-large_default/kofta-tracey-kf-1757a.jpg
KF-1757A;"Кофта ""Tracey"" KF-1757A";Кофты;"Женская кофта свободного кроя комбинированная с кожей золотого цвета. Рукав ""летучая мышь"", внизу на манжете. Оригинально смотрится благодаря сочетанию разных фактур ткани. Замеры по 42 размеру:  длина кофты по спинке - 62 см,  рукава от горловины - 49 см,  полуобхват внизу по манжету - 48 см.";44;многоцветный;трикотаж джерси, экокожа;1153;https://niko-opt.com/8512-large_default/kofta-tracey-kf-1757a.jpg,https://niko-opt.com/8513-large_default/kofta-tracey-kf-1757a.jpg
KF-1757A;"Кофта ""Tracey"" KF-1757A";Кофты;"Женская кофта свободного кроя комбинированная с кожей золотого цвета. Рукав ""летучая мышь"", внизу на манжете. Оригинально смотрится благодаря сочетанию разных фактур ткани. Замеры по 42 размеру:  длина кофты по спинке - 62 см,  рукава от горловины - 49 см,  полуобхват внизу по манжету - 48 см.";46;многоцветный;трикотаж джерси, экокожа;1153;https://niko-opt.com/8512-large_default/kofta-tracey-kf-1757a.jpg,https://niko-opt.com/8513-large_default/kofta-tracey-kf-1757a.jpg
KF-1757A;"Кофта ""Tracey"" KF-1757A";Кофты;"Женская кофта свободного кроя комбинированная с кожей золотого цвета. Рукав ""летучая мышь"", внизу на манжете. Оригинально смотрится благодаря сочетанию разных фактур ткани. Замеры по 42 размеру:  длина кофты по спинке - 62 см,  рукава от горловины - 49 см,  полуобхват внизу по манжету - 48 см.";48;многоцветный;трикотаж джерси, экокожа;1153;https://niko-opt.com/8512-large_default/kofta-tracey-kf-1757a.jpg,https://niko-opt.com/8513-large_default/kofta-tracey-kf-1757a.jpg
KF-1757B;"Кофта ""Tracey"" KF-1757B";Кофты;"Женская кофта свободного кроя комбинированная с кожей серебряного цвета. Рукав ""летучая мышь"", внизу на манжете. Оригинально смотрится благодаря сочетанию разных фактур ткани. Замеры по 42 размеру:  длина кофты по спинке - 62 см,  рукава от горловины - 49 см,  полуобхват внизу по манжету - 48 см.";42;многоцветный;трикотаж джерси, экокожа;1153;https://niko-opt.com/8514-large_default/kofta-tracey-kf-1757b.jpg,https://niko-opt.com/8515-large_default/kofta-tracey-kf-1757b.jpg
KF-1811A;Кофта Susana KF-1811A;Кофты;Женская замшевая кофта джинсового цвета с удлиненной спинкой и воротником стойкой. По переду кофты декоративный рельеф с накладной молнией на груди. Модель со спущенным плечевым швом - спереди кофта чуть короче, чем сзади. Замеры в (42) размере: длина по переду 64 см, по спинке 75 см, рукава 45 см.;42;джинс;экозамша на дайвинге;1303;https://niko-opt.com/10730-large_default/kofta-susana-kf-1811a.jpg,https://niko-opt.com/10731-large_default/kofta-susana-kf-1811a.jpg
KF-1811A;Кофта Susana KF-1811A;Кофты;Женская замшевая кофта джинсового цвета с удлиненной спинкой и воротником стойкой. По переду кофты декоративный рельеф с накладной молнией на груди. Модель со спущенным плечевым швом - спереди кофта чуть короче, чем сзади. Замеры в (42) размере: длина по переду 64 см, по спинке 75 см, рукава 45 см.;44;джинс;экозамша на дайвинге;1303;https://niko-opt.com/10730-large_default/kofta-susana-kf-1811a.jpg,https://niko-opt.com/10731-large_default/kofta-susana-kf-1811a.jpg
KF-1811A;Кофта Susana KF-1811A;Кофты;Женская замшевая кофта джинсового цвета с удлиненной спинкой и воротником стойкой. По переду кофты декоративный рельеф с накладной молнией на груди. Модель со спущенным плечевым швом - спереди кофта чуть короче, чем сзади. Замеры в (42) размере: длина по переду 64 см, по спинке 75 см, рукава 45 см.;46;джинс;экозамша на дайвинге;1303;https://niko-opt.com/10730-large_default/kofta-susana-kf-1811a.jpg,https://niko-opt.com/10731-large_default/kofta-susana-kf-1811a.jpg
KF-1811A;Кофта Susana KF-1811A;Кофты;Женская замшевая кофта джинсового цвета с удлиненной спинкой и воротником стойкой. По переду кофты декоративный рельеф с накладной молнией на груди. Модель со спущенным плечевым швом - спереди кофта чуть короче, чем сзади. Замеры в (42) размере: длина по переду 64 см, по спинке 75 см, рукава 45 см.;48;джинс;экозамша на дайвинге;1303;https://niko-opt.com/10730-large_default/kofta-susana-kf-1811a.jpg,https://niko-opt.com/10731-large_default/kofta-susana-kf-1811a.jpg
KF-1811B;Кофта Susana KF-1811B;Кофты;Женская замшевая кофта серого цвета с удлиненной спинкой и воротником стойкой. По переду кофты декоративный рельеф с накладной молнией на груди. Модель со спущенным плечевым швом - спереди кофта чуть короче, чем сзади. Замеры в (42) размере: длина по переду 64 см, по спинке 75 см, рукава 45 см.;42;серый;экозамша на дайвинге;1303;https://niko-opt.com/10732-large_default/kofta-susana-kf-1811b.jpg,https://niko-opt.com/10733-large_default/kofta-susana-kf-1811b.jpg
KF-1811B;Кофта Susana KF-1811B;Кофты;Женская замшевая кофта серого цвета с удлиненной спинкой и воротником стойкой. По переду кофты декоративный рельеф с накладной молнией на груди. Модель со спущенным плечевым швом - спереди кофта чуть короче, чем сзади. Замеры в (42) размере: длина по переду 64 см, по спинке 75 см, рукава 45 см.;44;серый;экозамша на дайвинге;1303;https://niko-opt.com/10732-large_default/kofta-susana-kf-1811b.jpg,https://niko-opt.com/10733-large_default/kofta-susana-kf-1811b.jpg
KF-1811B;Кофта Susana KF-1811B;Кофты;Женская замшевая кофта серого цвета с удлиненной спинкой и воротником стойкой. По переду кофты декоративный рельеф с накладной молнией на груди. Модель со спущенным плечевым швом - спереди кофта чуть короче, чем сзади. Замеры в (42) размере: длина по переду 64 см, по спинке 75 см, рукава 45 см.;46;серый;экозамша на дайвинге;1303;https://niko-opt.com/10732-large_default/kofta-susana-kf-1811b.jpg,https://niko-opt.com/10733-large_default/kofta-susana-kf-1811b.jpg
KF-1811B;Кофта Susana KF-1811B;Кофты;Женская замшевая кофта серого цвета с удлиненной спинкой и воротником стойкой. По переду кофты декоративный рельеф с накладной молнией на груди. Модель со спущенным плечевым швом - спереди кофта чуть короче, чем сзади. Замеры в (42) размере: длина по переду 64 см, по спинке 75 см, рукава 45 см.;48;серый;экозамша на дайвинге;1303;https://niko-opt.com/10732-large_default/kofta-susana-kf-1811b.jpg,https://niko-opt.com/10733-large_default/kofta-susana-kf-1811b.jpg
KF-1811C;Кофта Susana KF-1811C;Кофты;Женская замшевая кофта светло-коричневая с удлиненной спинкой и воротником стойкой. По переду кофты декоративный рельеф с накладной молнией на груди. Модель со спущенным плечевым швом - спереди кофта чуть короче, чем сзади. Замеры в (42) размере: длина по переду 64 см, по спинке 75 см, рукава 45 см.;42;светло-коричневый;экозамша на дайвинге;1303;https://niko-opt.com/10734-large_default/kofta-susana-kf-1811c.jpg,https://niko-opt.com/10735-large_default/kofta-susana-kf-1811c.jpg
KF-1811C;Кофта Susana KF-1811C;Кофты;Женская замшевая кофта светло-коричневая с удлиненной спинкой и воротником стойкой. По переду кофты декоративный рельеф с накладной молнией на груди. Модель со спущенным плечевым швом - спереди кофта чуть короче, чем сзади. Замеры в (42) размере: длина по переду 64 см, по спинке 75 см, рукава 45 см.;44;светло-коричневый;экозамша на дайвинге;1303;https://niko-opt.com/10734-large_default/kofta-susana-kf-1811c.jpg,https://niko-opt.com/10735-large_default/kofta-susana-kf-1811c.jpg
KF-1811C;Кофта Susana KF-1811C;Кофты;Женская замшевая кофта светло-коричневая с удлиненной спинкой и воротником стойкой. По переду кофты декоративный рельеф с накладной молнией на груди. Модель со спущенным плечевым швом - спереди кофта чуть короче, чем сзади. Замеры в (42) размере: длина по переду 64 см, по спинке 75 см, рукава 45 см.;46;светло-коричневый;экозамша на дайвинге;1303;https://niko-opt.com/10734-large_default/kofta-susana-kf-1811c.jpg,https://niko-opt.com/10735-large_default/kofta-susana-kf-1811c.jpg
KF-1811C;Кофта Susana KF-1811C;Кофты;Женская замшевая кофта светло-коричневая с удлиненной спинкой и воротником стойкой. По переду кофты декоративный рельеф с накладной молнией на груди. Модель со спущенным плечевым швом - спереди кофта чуть короче, чем сзади. Замеры в (42) размере: длина по переду 64 см, по спинке 75 см, рукава 45 см.;48;светло-коричневый;экозамша на дайвинге;1303;https://niko-opt.com/10734-large_default/kofta-susana-kf-1811c.jpg,https://niko-opt.com/10735-large_default/kofta-susana-kf-1811c.jpg
VPD0001;"Платье длинное ""LOLO"" VPD0001";Платья вязаные;"Шикарное длинное вязаное платье ""LOLO"" подчеркнет все достоинства вашей фигуры и умело скроет ее недостатки. Модель выполнена из пряжи, в составе которой хлопок и акрил в одинаковых пропорциях. Такое сочетание не позволит краскам потерять свой цвет, сохранится структура пряжи после многочисленной носки и стирок, платье не сядет, не вытянется и останется таким же элегантным, как в день покупки. В нем тепло и уютно, оно отлично хранит тепло, не позволяя телу вспотеть, а кокетливый разрез сбоку позволит продемонстрировать очаровательную ножку! Длина платья по спинке: 112-118 см Рукав по внутреннему шву: 52 см Рукав по внешнему шву: 62 см";42-48;темно-синий;хлопок, акрил;1689;https://niko-opt.com/12247-large_default/plate-dlinnoe-lolo-vpd0001.jpg,https://niko-opt.com/12248-large_default/plate-dlinnoe-lolo-vpd0001.jpg
VPD0002;"Платье длинное ""LOLO"" VPD0002";Платья вязаные;"Шикарное вязаное платье ""LOLO"" в нежном цвете пудра покорит сердца самых предвзятых девушек. Размер платья — универсальный, поэтому будет хорошо смотреться как на худеньких девушек, так и девушках с 48-м размером. Внизу платье имеет кокетливый разрез сбоку, открывая миру стройную соблазнительную ножку. Модель выполнена из пряжи, в составе которой хлопок и акрил, поэтому после стирки платье не сядет и не полиняет, нити останутся такими же прочными и крепкими. Почувствуй себя королевой! Длина платья по спинке: 112-118 см Рукав по внутреннему шву: 52 см Рукав по внешнему шву: 62 см";42-48;пудровый;хлопок, акрил;1689;https://niko-opt.com/12249-large_default/plate-dlinnoe-lolo-vpd0002.jpg,https://niko-opt.com/12250-large_default/plate-dlinnoe-lolo-vpd0002.jpg
VPD0003;"Платье длинное ""LOLO"" VPD0003";Платья вязаные;"В осеннюю прохладную погоду теплое вязаное платье ""LOLO"" идеально подойдет стильной и обворожительной девушке. Модный цвет марсала идеально сочетается с любым типом кожи, лишь подчеркивая цвет лица. Рукава длинные, стянуты резинкой рибана, внизу сбоку разрез, чтобы явить миру вашу стройную ножку. Сочетание акрила с хлопком в пряже позволяет сохранить яркость цвета, а нитям остаться такими же прочными и стойкими. В платье ""LOLO"" тепло, комфортно и уютно, а это именно то, чего хочет девушка в холодную осень!";42-48;марсала;хлопок, акрил;1689;https://niko-opt.com/12245-large_default/plate-dlinnoe-lolo-vpd0003.jpg,https://niko-opt.com/12246-large_default/plate-dlinnoe-lolo-vpd0003.jpg
VPD0004;"Платье длинное ""LOLO"" VPD0004";Платья вязаные;Длина платья по спинке: 112-118 см Рукав по внутреннему шву: 52 см Рукав по внешнему шву: 62 см;42-48;коричнево-зеленый;хлопок, акрил;1689;https://niko-opt.com/12147-large_default/plate-dlinnoe-lolo-vpd0004.jpg,https://niko-opt.com/12148-large_default/plate-dlinnoe-lolo-vpd0004.jpg
VPD0005;"Платье длинное ""LOLO"" VPD0005";Платья вязаные;Длина платья по спинке: 112-118 см Рукав по внутреннему шву: 52 см Рукав по внешнему шву: 62 см;42-48;графит;хлопок, акрил;1689;https://niko-opt.com/12243-large_default/plate-dlinnoe-lolo-vpd0005.jpg,https://niko-opt.com/12244-large_default/plate-dlinnoe-lolo-vpd0005.jpg
VPD0006;"Платье длинное ""LOLO"" VPD0006";Платья вязаные;Измеренная длина платья по спинке: 112-118 см Рукав по внутреннему шву: 52 см Рукав по внешнему шву: 62 см;42-48;темно-розовый;хлопок, акрил;1689;https://niko-opt.com/12145-large_default/plate-dlinnoe-lolo-vpd0006.jpg,https://niko-opt.com/12146-large_default/plate-dlinnoe-lolo-vpd0006.jpg
VPD0007;"Платье длинное ""LOLO"" VPD0007";Платья вязаные;Измеренная длина платья по спинке: 112-118 см Рукав по внутреннему шву: 52 см Рукав по внешнему шву: 62 см;42-48;черный;хлопок, акрил;1689;https://niko-opt.com/12143-large_default/plate-dlinnoe-lolo-vpd0007.jpg,https://niko-opt.com/12144-large_default/plate-dlinnoe-lolo-vpd0007.jpg
VPD0008;"Платье длинное ""LOLO"" VPD0008";Платья вязаные;Длина платья по спинке: 112-118 см Рукав по внутреннему шву: 52 см Рукав по внешнему шву: 62 см;42-48;темный джинс;хлопок, акрил;1689;https://niko-opt.com/12149-large_default/plate-dlinnoe-lolo-vpd0008.jpg,https://niko-opt.com/12150-large_default/plate-dlinnoe-lolo-vpd0008.jpg
VPD0012;"Платье длинное ""LOLO"" VPD0012";Платья вязаные;Длина платья по спинке: 112-118 см Рукав по внутреннему шву: 52 см Рукав по внешнему шву: 62 см;42-48;горчичный;хлопок, акрил;1689;https://niko-opt.com/12153-large_default/plate-dlinnoe-lolo-vpd0012.jpg,https://niko-opt.com/12154-large_default/plate-dlinnoe-lolo-vpd0012.jpg
VPD0015;"Платье длинное ""LOLO"" VPD0015";Платья вязаные;Длина платья по спинке: 112-118 см Рукав по внутреннему шву: 52 см Рукав по внешнему шву: 62 см;42-48;электрик;хлопок, акрил;1689;https://niko-opt.com/12157-large_default/plate-dlinnoe-lolo-vpd0015.jpg,https://niko-opt.com/12158-large_default/plate-dlinnoe-lolo-vpd0015.jpg
VPD0016;"Платье длинное ""LOLO"" VPD0016";Платья вязаные;Длина платья по спинке: 112-118 см Рукав по внутреннему шву: 52 см Рукав по внешнему шву: 62 см;42-48;капучино;хлопок, акрил;1689;https://niko-opt.com/12159-large_default/plate-dlinnoe-lolo-vpd0016.jpg,https://niko-opt.com/12160-large_default/plate-dlinnoe-lolo-vpd0016.jpg
VPC0002;Платье длинное CAMERON VPC0002;Платья вязаные;Светло-серое вязаное платье миди с высоким воротником и разрезом. Замеры в (42-48) размере: длина по спинке 110 см, длина рукава 60 см, глубина разреза 32 см.;42-48;светло-серый;хлопок, акрил;1689;https://niko-opt.com/11617-large_default/plate-dlinnoe-cameron-vpc0002.jpg,https://niko-opt.com/11618-large_default/plate-dlinnoe-cameron-vpc0002.jpg
VPC0003;Платье длинное CAMERON VPC0003;Платья вязаные;Марсаловое вязаное платье миди с высоким воротником и разрезом. Замеры в (42-48) размере: длина по спинке 110 см, длина рукава 60 см, глубина разреза 32 см.;42-48;марсала;хлопок, акрил;1689;https://niko-opt.com/9982-large_default/plate-dlinnoe-cameron-vpc0003.jpg,https://niko-opt.com/9983-large_default/plate-dlinnoe-cameron-vpc0003.jpg
VPB0001;"Платье короткое ""BRITNEY"" VPB0001";Платья вязаные;Длина по спинке - 90-94 см Длина рукава - 61 см;42-48;cветлая пудра;хлопок, акрил;1578;https://niko-opt.com/11953-large_default/plate-korotkoe-britney-vpb0001.jpg,https://niko-opt.com/11954-large_default/plate-korotkoe-britney-vpb0001.jpg
VPB0006;"Платье короткое ""BRITNEY"" VPB0006";Платья вязаные;Длина по спинке - 90-94 см Длина рукава - 61 см;42-48;графит;хлопок, акрил;1578;https://niko-opt.com/11959-large_default/plate-korotkoe-britney-vpb0006.jpg,https://niko-opt.com/11960-large_default/plate-korotkoe-britney-vpb0006.jpg
VPK0002;"Платье короткое ""LILU"" VPK0002";Платья вязаные;"Короткое вязаное платье кораллового цвета ""LILU"" позволит вам быть яркой и выделяться из толпы. Модель выполнена в технике плотной вязки, длина платья — до колена, вырез горловины — круглый. Платье отлично садится по фигуре и имеет универсальный размер, его могут носить девушки как 42-го, так и 48-го размера. В таком платье вам буде тепло на улице и в помещении, он отлично сохраняет температуру вашего тела, при этом пропуская воздух, не создавая парникового эффекта. Длина по спинке: 90-94 см Длина рукава: 61 см";42-48;коралловый;хлопок, акрил;1578;https://niko-opt.com/12177-large_default/plate-korotkoe-lilu-vpk0002.jpg,https://niko-opt.com/12178-large_default/plate-korotkoe-lilu-vpk0002.jpg
VPK0003;"Платье короткое ""LILU"" VPK0003";Платья вязаные;Длина по спинке - 90-94 см Длина рукава - 61 см;42-48;бежевый;хлопок, акрил;1578;https://niko-opt.com/12179-large_default/plate-korotkoe-lilu-vpk0003.jpg,https://niko-opt.com/12180-large_default/plate-korotkoe-lilu-vpk0003.jpg
VPK0004;"Платье короткое ""LILU"" VPK0004";Платья вязаные;Длина по спинке - 90-94 см Длина рукава - 61 см;42-48;темно-синий;хлопок, акрил;1578;https://niko-opt.com/12181-large_default/plate-korotkoe-lilu-vpk0004.jpg,https://niko-opt.com/12182-large_default/plate-korotkoe-lilu-vpk0004.jpg
VPK0005;"Платье короткое ""LILU"" VPK0005";Платья вязаные;Длина по спинке - 90-94 см Длина рукава - 61 см;42-48;светло-серый;хлопок, акрил;1578;https://niko-opt.com/12183-large_default/plate-korotkoe-lilu-vpk0005.jpg,https://niko-opt.com/12184-large_default/plate-korotkoe-lilu-vpk0005.jpg
VPK0006;"Платье короткое ""LILU"" VPK0006";Платья вязаные;Длина по спинке - 90-94 см Длина рукава - 61 см;42-48;марсала;хлопок, акрил;1578;https://niko-opt.com/4808-large_default/plate-korotkoe-lilu-vpk0006.jpg,https://niko-opt.com/4809-large_default/plate-korotkoe-lilu-vpk0006.jpg
VPK0009;"Платье короткое ""LILU"" VPK0009";Платья вязаные;Длина по спинке - 90-94 см Длина рукава - 61 см;42-48;черный;хлопок, акрил;1578;https://niko-opt.com/12185-large_default/plate-korotkoe-lilu-vpk0009.jpg,https://niko-opt.com/12186-large_default/plate-korotkoe-lilu-vpk0009.jpg
VPK0011;"Платье короткое ""LILU"" VPK0011";Платья вязаные;Длина по спинке - 90-94 см Длина рукава - 61 см;42-48;джинсовый синий;хлопок, акрил;1578;https://niko-opt.com/12187-large_default/plate-korotkoe-lilu-vpk0011.jpg,https://niko-opt.com/12188-large_default/plate-korotkoe-lilu-vpk0011.jpg
VPK0012;"Платье короткое ""LILU"" VPK0012";Платья вязаные;Длина по спинке - 90-94 см Длина рукава - 61 см;42-48;голубой;хлопок, акрил;1578;https://niko-opt.com/12189-large_default/plate-korotkoe-lilu-vpk0012.jpg,https://niko-opt.com/12190-large_default/plate-korotkoe-lilu-vpk0012.jpg
VPK0016;"Платье короткое ""LILU"" VPK0016";Платья вязаные;Длина по спинке - 90-94 см Длина рукава - 61 см;42-48;белый;хлопок, акрил;1578;https://niko-opt.com/12222-large_default/plate-korotkoe-lilu-vpk0016.jpg,https://niko-opt.com/12223-large_default/plate-korotkoe-lilu-vpk0016.jpg
VPK0017;"Платье короткое ""LILU"" VPK0017";Платья вязаные;Длина по спинке - 90-94 см Длина рукава - 61 см;42-48;пудровый;хлопок, акрил;1578;https://niko-opt.com/12193-large_default/plate-korotkoe-lilu-vpk0017.jpg,https://niko-opt.com/12194-large_default/plate-korotkoe-lilu-vpk0017.jpg
SVD0001;Свитер DAILY SVD0001;Свитера вязаные;"Стильный, молодежный свитер ""DAILY"" сделает Ваш образ неотразимым. Он будет изюминкой вашего гардероба. Вырез горловины выполнен в форме ""лодочка"".  Свитер по спинке: 55 см  Рукава: 44 см Замеры для 42-46 размера.";42-46;белый;хлопок, акрил;1431;https://niko-opt.com/12043-large_default/sviter-daily-svd0001.jpg,https://niko-opt.com/12044-large_default/sviter-daily-svd0001.jpg
SVD0002;Свитер DAILY SVD0002;Свитера вязаные;"Стильный, молодежный свитер ""DAILY"" сделает Ваш образ неотразимым. Он будет изюминкой вашего гардероба. Вырез горловины выполнен в форме ""лодочка"".  Свитер по спинке: 55 см  Рукава: 44 см Замеры для 42-46 размера.";42-46;пудровый;хлопок, акрил;1431;https://niko-opt.com/12045-large_default/sviter-daily-svd0002.jpg,https://niko-opt.com/12046-large_default/sviter-daily-svd0002.jpg
SVD0003;Свитер DAILY SVD0003;Свитера вязаные;"Стильный, молодежный свитер ""DAILY"" сделает Ваш образ неотразимым. Он будет изюминкой вашего гардероба. Вырез горловины выполнен в форме ""лодочка"".  Свитер по спинке: 55 см  Рукава: 44 см Замеры для 42-46 размера.";42-46;мокко;хлопок, акрил;1431;https://niko-opt.com/12047-large_default/sviter-daily-svd0003.jpg,https://niko-opt.com/12048-large_default/sviter-daily-svd0003.jpg
SVD0004;Свитер DAILY SVD0004;Свитера вязаные;"Стильный, молодежный свитер ""DAILY"" сделает Ваш образ неотразимым. Он будет изюминкой вашего гардероба. Вырез горловины выполнен в форме ""лодочка"".  Свитер по спинке: 55 см  Рукава: 44 см Замеры для 42-46 размера.";42-46;мятный;хлопок, акрил;1431;https://niko-opt.com/12049-large_default/sviter-daily-svd0004.jpg,https://niko-opt.com/12050-large_default/sviter-daily-svd0004.jpg
SVD0005;Свитер DAILY SVD0005;Свитера вязаные;"Стильный, молодежный свитер ""DAILY"" сделает Ваш образ неотразимым. Он будет изюминкой вашего гардероба. Вырез горловины выполнен в форме ""лодочка"".  Cвитер по спинке: 55 см  Рукава: 44 см Замеры для 42-46 размера.";42-46;красный;хлопок, акрил;1431;https://niko-opt.com/12051-large_default/sviter-daily-svd0005.jpg,https://niko-opt.com/12052-large_default/sviter-daily-svd0005.jpg
SVD0006;Свитер DAILY SVD0006;Свитера вязаные;"Стильный, молодежный свитер ""DAILY"" сделает Ваш образ неотразимым. Он будет изюминкой вашего гардероба. Вырез горловины выполнен в форме ""лодочка"". Cвитер по спинке: 55 см  Рукава: 44 см Замеры для 42-46 размера.";42-46;джинсовый синий;хлопок, акрил;1431;https://niko-opt.com/12053-large_default/sviter-daily-svd0006.jpg,https://niko-opt.com/12054-large_default/sviter-daily-svd0006.jpg
SVD0007;Свитер DAILY SVD0007;Свитера вязаные;"Стильный, молодежный свитер ""DAILY"" сделает Ваш образ неотразимым. Он будет изюминкой вашего гардероба. Вырез горловины выполнен в форме ""лодочка"".  Свитер по спинке: 55 см  Рукава: 44 см Замеры для 42-46 размера.";42-46;черный;хлопок, акрил;1431;https://niko-opt.com/12055-large_default/sviter-daily-svd0007.jpg,https://niko-opt.com/12056-large_default/sviter-daily-svd0007.jpg
SVE0005;Свитер ELLYN SVE0005;Свитера вязаные;"Трехцветный полушерстяной свитер с горловиной ""лодочка"". Замеры в (42-50) размере: длина свитера по спинке 57-63 см, длина рукава 48-52 см.";42-50;лиловый, персик;шерсть, акрил;1761;https://niko-opt.com/11930-large_default/sviter-ellyn-sve0005.jpg,https://niko-opt.com/11931-large_default/sviter-ellyn-sve0005.jpg
SVG0001;Свитер GWEN SVG0001;Свитера вязаные;"Женский молодежный джемпер фисташкового цвета, выполнен в крупной вязке с фактурным рисунком ""коса"" - по центру полочки. Рукав реглан. Замеры в (42-46) размере: длина по спинке 55 см, длина рукава 68 см.";42-46;фисташковый;;1389;https://niko-opt.com/11910-large_default/sviter-gwen-svg0001.jpg,https://niko-opt.com/11911-large_default/sviter-gwen-svg0001.jpg
SVG0003;Свитер GWEN SVG0003;Свитера вязаные;"Женский молодежный джемпер карамельного цвета, выполнен в крупной вязке с фактурным рисунком ""коса"" - по центру полочки. Рукав реглан. Замеры в (42-46) размере: длина по спинке 55 см, длина рукава 68 см.";42-46;карамельный;;1389;https://niko-opt.com/11914-large_default/sviter-gwen-svg0003.jpg,https://niko-opt.com/11915-large_default/sviter-gwen-svg0003.jpg
SVG0004;Свитер GWEN SVG0004;Свитера вязаные;"Женский молодежный джемпер сиреневого цвета, выполнен в крупной вязке с фактурным рисунком ""коса"" по центру полочки. Рукав реглан. Замеры в (42-46) размере: длина по спинке 55 см, длина рукава 68 см.";42-46;сиреневый;;1389;https://niko-opt.com/11918-large_default/sviter-gwen-svg0004.jpg,https://niko-opt.com/11919-large_default/sviter-gwen-svg0004.jpg
SVH0001;Свитер HELLEN SVH0001;Свитера вязаные;"Женский джемпер пудрового цвета с люрексом, выполнен в крупной вязке с фактурным рисунком ""коса"" по центру полочки. Рукав реглан. Замеры в (42-46) размере: длина по спинке 55 см, длина рукава 68 см.";42-46;пудровый;;1389;https://niko-opt.com/11920-large_default/sviter-hellen-svh0001.jpg,https://niko-opt.com/11921-large_default/sviter-hellen-svh0001.jpg
